experiment_name,split_name,model_name,seed,config_sha256,checkpoint_sha256,thresholds_sha256,test_metrics_sha256,macro_dice,macro_iou,keypoint_f1,boundary_f1,keypoint_f1_tolerance_1,keypoint_f1_tolerance_3,keypoint_f1_tolerance_5
main_qc_unet_seed_20260811,main_qc,unet,20260811,e84a477c10ad399a9dfe2674872e44b01218dbc448caf4d4a2f1aa7b013cd4e6,39868d61ac7e02be1e16b6c01b6a832a2dc5cf224d0efa80cc76abbeb0f8b303,842c971dead70ed5ba3c4682eb2fbe91f69b64a39201aa222f6d34c75c7aafe1,cd64276fc891a7bb80dfca12bdbad716fdcdcebc4763fead6e4443f43a6345cd,0.9177399753813958,0.8483221750055907,0.7597558279913622,0.7988841093478591,0.9116094105456051,0.9417874563082008,0.9505091854183093
main_qc_unet_seed_314159,main_qc,unet,314159,a884c53e2e06d3fd735ca8eb135e4c612a01cc55790fb0ce93b69b85ebaa927c,fdd2fb36aaa14fb716d792d279bf96e09ef3cd68a723184f720863ec330908a6,f36fcbb2f9a65a33d0428942c8b894e72b1c244f6abcfb278a1aafdfe104686e,d77c730800fd78aa2356b443db67411ca14db911bf8db58f2db8e9df57ed8a4a,0.919789308128995,0.851818603991909,0.7521618817018333,0.8005206392026938,0.9058835492655819,0.9400019453509478,0.9494344266178985
main_qc_unet_seed_271828,main_qc,unet,271828,811706461d12b39ea0e81ca8113cd7a13d45c4961e782742f71d381f37982c08,5008ce8503555895c79181b5e9e3de31d985722983cc17d57d221d6b6ce41fa5,631943a6af926dbcf1ee47e3ba6b47e3c402e6f2875f0fe5045315f61405e2a9,1f1d284cd478eae6c6dd7c8ad3b49378fc99ce645f3840fbda4f15c8bdc4710b,0.921283543911912,0.8543355951868591,0.7566354377433561,0.8033576934111231,0.9090304448720343,0.9401306574593237,0.9493486895901584
main_qc_deeplabv3plus_seed_20260811,main_qc,deeplabv3plus,20260811,28cf57e1b46142e02712d781a63d8706ae97580d3d152130689c77767f7ce6fc,e3bc8dc37b441a9a85baf11345bd45529b5107cfb1e2dc95c9443933bf80bf62,71549929d69b456b1c86316996e45672a56ef906d64e47f5a7211baefee8e1c4,014ad05e398fa4c17a4534ac31ca7ff93f5038e7602fac4f20728ba6872e2f5e,0.9636643568063364,0.9299226594967849,0.7229659794689064,0.8430635778478377,0.9000062635630053,0.932171159198808,0.941696985625065
main_qc_deeplabv3plus_seed_314159,main_qc,deeplabv3plus,314159,b28a582edee9348be040b3fab2f19b6dab844cc0155bddf02c52ff0bc7dbf198,831b3c774b18b755f333d641775ecd2451e6487a98a7c27581aa99ddb56f31b2,dd9a77148dc160adf4ef2f6e1f57f30546d60262d0dfcffb68b5e632f74f78de,3f3fa9583d3838a4f230bf49c26bc1e650705dd34d33f08d18a2ca2a3c31d49b,0.9623970712254293,0.9275394918957514,0.7216407689836498,0.8423963905048917,0.9023888297761943,0.9344781467777077,0.9441697918159223
main_qc_deeplabv3plus_seed_271828,main_qc,deeplabv3plus,271828,e5a1c32d11406beac3836394f0ebdde0be2ec9d3e534f067e99e7a18228655dc,dcca4741f3190c1af33811045e67378e91ea099cbf80ac1b925de5eb43e49617,92853255263b2c7489898eac5ec769dc49e06792bc2d1a40f06ce5ab8f0ce055,e905d7c2badba013a612ae6a430b8d3b5389aae6841b19efdc0820ce5f9bc22a,0.962993709577644,0.9286757615316159,0.720671154700475,0.8475335965562125,0.9064013950970405,0.9462919814486522,0.9591391601994489
main_qc_segformer_b2_seed_20260811,main_qc,segformer,20260811,91bed681d7df9a7a719412b842908450ca479d0be8ccda127d98f9d9010d1247,c58c409279372af0c5846e00d74d660d05c0055a4c2d387d9e58bbc03b82dd54,8516b9df933b438d9a83b1fb50b1c1391049cd16b08d4d046e144d846caa765a,c0c4d56c805e33168bc52ed058bc8ed126b814ee4d728ed1a256ad67e300c111,0.9600541563478819,0.9231988998360212,0.7154063807797225,0.831186680192889,0.897509400209686,0.9266177911694463,0.9336688270968447
main_qc_segformer_b2_seed_314159,main_qc,segformer,314159,bc0198008164fa6148a7281f640fe07ff0cc501507a75c2343a1b348631d91c0,513e883685835775539e9ee420c019b3e5e65e78a5c97dbf182a2e62f47dd83c,0a82827fbe91ae39fd662eda8a1dd5d0bbd2456598b33856d6f5a5a40fc88779,f114ab37aec8ef0759464d6264bc531455a9c0024549bff95a3bf0d59536abbd,0.9597103931902247,0.9225688378845243,0.7175879057838969,0.8307687383096793,0.9013405240303546,0.9299804933913433,0.9375562908791552
main_qc_segformer_b2_seed_271828,main_qc,segformer,271828,f6165ee4069214c0e8d412a05b875c8e71c9a71106488d76424774ae5defd744,c6261a210248df490f6641661648937adaba0c43bc194b9afccd22edb430875c,acd9fda443ff6476f685079f4fe38ab8cfdb6f6c3ca4ec6eed8d91432970f215,9aff75d9299408d591e2fa9e224f2e06de477aa8cb5d747e57795753d2ea8a8b,0.9545078752412157,0.9129954304612884,0.7087525481686066,0.8157722980157722,0.895987767235663,0.9268321489642025,0.9347090584731359
character_disjoint_unet_seed_20260811,character_disjoint,unet,20260811,1f8b22140e591dc198e8642865cb1f1a36f3831f828b7aa7418ea628feb31eb2,d89e1b29bdc7a932e66d6e95975c6347e776846ebde75212b5581b46427a1679,e228ddcd02660ff6fd9e1912e3877905215b45220b4b76b716d7a5c15ed97f78,e3c566467119abeff4ed332e43a1ed386da93db616935db45ddef828eec434b7,0.8136596048526513,0.6958071068668276,0.6989099859353024,0.6296216069723537,0.8410089257676481,0.8808335469279415,0.8989856023027527
character_disjoint_unet_seed_314159,character_disjoint,unet,314159,2fcb391045da507702952c825aea6f07565abb1ae3717cbeb32af60b4e97142d,183106ab8f7b589eb2e22b897aa8c60eb0f29f08996059244a629e84e853b1e7,34ad8ed234f3d8c1038636ed28b63ebcb2f9aa804047fe842ca9ba8be98c36b4,270d24d7d6df63bf10fa13d006aeb5a90b9b20c59ea17ca58697a6e00fa27dc1,0.844224465148774,0.7376921729071346,0.7006957262530171,0.6567449513967881,0.8447848606170654,0.8826699801053925,0.8991233254902526
